iso3,name,pop_thousands,group,mean_pct_high,mean_pct_low,mean_pct_medium,pct_inadequate_high,pct_inadequate_low,pct_inadequate_medium
STP,São Tomé & Príncipe,206,country,116.5,100.19,110.36,51.16,60.42,54.49
TWN,Taiwan,23498,country,166.09,120.16,138.58,10.45,36.88,23.18
TJK,Tajikistan,9151,country,176.97,155.44,169.25,11.26,18.16,13.37
TZA,Tanzania,56218,country,112.31,99.59,107.85,39.72,55.8,45.11
THA,Thailand,70794,country,94.25,71.42,82.34,63.41,88.59,78.12
TLS,Timor-Leste,1255,country,230.47,199.92,219.19,0.64,2.11,0.99
TGO,Togo,8095,country,158.24,143.3,153.23,12.27,19.25,14.31
TON,Tonga,103,country,137.78,113.52,127.65,37.56,51.65,42.98
TTO,Trinidad & Tobago,1474,country,69.67,51.6,59.6,88.13,93.45,91.26
TUN,Tunisia,11620,country,183.8,143.85,164.75,5.82,19.02,10.35
TUR,Turkey,83603,country,170.2,126.07,145.6,9.43,31.06,18.67
TKM,Turkmenistan,6563,country,169.44,130.73,150.25,14.35,32.66,21.67
UGA,Uganda,40741,country,135.73,121.91,131.01,23.78,34.16,26.99
UKR,Ukraine,44714,country,111.9,87.19,99.97,46.62,71.43,58.02
ARE,United Arab Emirates,9297,country,152.6,109.34,125.88,14.56,45.49,30.21
GBR,United Kingdom,66201,country,141.06,102.43,118.18,23.63,55.05,40.15
USA,United States,332631,country,166.41,119.82,138.08,14.66,41.01,28.01
URY,Uruguay,3357,country,202.16,150.96,174.3,7.34,25.24,14.7
UZB,Uzbekistan,31893,country,216.88,175,198.45,7.91,16.45,10.89
VUT,Vanuatu,280,country,215.58,188.54,205.79,2.54,5.63,3.4
VEN,Venezuela,28801,country,131.03,102.13,117.09,39.79,64.12,51.14
VNM,Vietnam,95272,country,202.92,160.92,183.58,3.12,11.52,5.8
YEM,Yemen,33392,country,164.15,146.56,158.07,9.61,16.84,11.68
ZMB,Zambia,17625,country,143.91,125.2,137.05,16.41,29.15,20.4
ZWE,Zimbabwe,14694,country,114.03,97.94,107.95,41.24,59.43,47.94
