iso3,sex,age_group,kcal_mean,best_dist,cv,source_final,kcal_country_mean
IRL,Males,60-64,3017.3867178661644,gamma,0.23037641385769567,nearest_country_exact,2540.115945687926
IRL,Males,65-69,2953.2479805672606,gamma,0.2309179915393653,nearest_country_exact,2540.115945687926
IRL,Males,70-74,2840.9551395299004,gamma,0.24127242097135598,nearest_country_exact,2540.115945687926
IRL,Males,75-79,2767.1434334712803,gamma,0.23430423836827038,nearest_country_exact,2540.115945687926
IRL,Males,80-84,2633.165440247104,gamma,0.23750377110234813,nearest_country_exact,2540.115945687926
IRL,Males,85-89,2550.6080216933155,log-normal,0.2617384345993207,nearest_country_exact,2540.115945687926
IRL,Males,90-94,2496.079031136091,log-normal,0.2617384345993207,nearest_country_nearest_age,2540.115945687926
IRL,Males,95-99,2455.395662529049,log-normal,0.2617384345993207,nearest_country_nearest_age,2540.115945687926
IRN,Females,0-0.99,484.17214049364804,gamma,0.25576960068002047,nearest_country_nearest_age,2099.787439317654
IRN,Females,1-4,884.499922961254,gamma,0.25576960068002047,nearest_country_nearest_age,2099.787439317654
IRN,Females,5-9,1324.3397549728152,gamma,0.25576960068002047,nearest_country_nearest_age,2099.787439317654
IRN,Females,10-14,1834.7506407446506,gamma,0.25576960068002047,nearest_country_exact,2099.787439317654
IRN,Females,15-19,2089.7669676320834,gamma,0.25546675081231646,nearest_country_exact,2099.787439317654
IRN,Females,20-24,2096.0121936285677,gamma,0.25591432214701865,nearest_country_exact,2099.787439317654
IRN,Females,25-29,2117.4834565263404,gamma,0.2570052704787616,nearest_country_exact,2099.787439317654
IRN,Females,30-34,2115.9969168173184,gamma,0.26107490864672656,nearest_country_exact,2099.787439317654
IRN,Females,35-39,2110.560931372491,gamma,0.25941256947614333,nearest_country_exact,2099.787439317654
IRN,Females,40-44,2087.858215461327,gamma,0.26329994686704844,nearest_country_exact,2099.787439317654
IRN,Females,45-49,2066.114273682018,gamma,0.2622970654631073,nearest_country_exact,2099.787439317654
IRN,Females,50-54,2040.4208861669033,gamma,0.2658328917452522,nearest_country_exact,2099.787439317654
IRN,Females,55-59,2007.110082154669,gamma,0.26808371309526496,nearest_country_exact,2099.787439317654
IRN,Females,60-64,1966.2962108537001,gamma,0.2658568655569119,nearest_country_exact,2099.787439317654
IRN,Females,65-69,1918.8940659310877,gamma,0.26995243416426523,nearest_country_exact,2099.787439317654
IRN,Females,70-74,1867.049894067314,gamma,0.2715142486571288,nearest_country_exact,2099.787439317654
IRN,Females,75-79,1813.5432606354623,gamma,0.2715142486571288,nearest_country_nearest_age,2099.787439317654
IRN,Females,80-84,1762.130097326375,gamma,0.2715142486571288,nearest_country_nearest_age,2099.787439317654
IRN,Females,85-89,1711.3062722451257,gamma,0.2715142486571288,nearest_country_nearest_age,2099.787439317654
IRN,Females,90-94,1681.3995562056225,gamma,0.2715142486571288,nearest_country_nearest_age,2099.787439317654
IRN,Females,95-99,1659.374139451824,gamma,0.2715142486571288,nearest_country_nearest_age,2099.787439317654
IRN,Males,0-0.99,557.8833994380701,gamma,0.2624063899534516,nearest_country_nearest_age,2099.787439317654
IRN,Males,1-4,940.9004709745757,gamma,0.2624063899534516,nearest_country_nearest_age,2099.787439317654
IRN,Males,5-9,1477.5852863964096,gamma,0.2624063899534516,nearest_country_nearest_age,2099.787439317654
IRN,Males,10-14,2136.5094055832355,gamma,0.2624063899534516,nearest_country_exact,2099.787439317654
IRN,Males,15-19,2763.8995315342922,gamma,0.2553891893303349,nearest_country_exact,2099.787439317654
IRN,Males,20-24,2664.811544421056,gamma,0.2501567764142044,nearest_country_exact,2099.787439317654
IRN,Males,25-29,2668.72580578505,gamma,0.24867649275313386,nearest_country_exact,2099.787439317654
IRN,Males,30-34,2657.2644966675584,gamma,0.2498149506923942,nearest_country_exact,2099.787439317654
IRN,Males,35-39,2633.734948018832,gamma,0.2536772532446452,nearest_country_exact,2099.787439317654
IRN,Males,40-44,2599.826009685807,gamma,0.25338695604202083,nearest_country_exact,2099.787439317654
IRN,Males,45-49,2559.4431469395254,gamma,0.2522410648016191,nearest_country_exact,2099.787439317654
IRN,Males,50-54,2514.2488213480647,gamma,0.25723164179115166,nearest_country_exact,2099.787439317654
IRN,Males,55-59,2463.6536946835877,gamma,0.26235280185265025,nearest_country_exact,2099.787439317654
IRN,Males,60-64,2407.596194295425,gamma,0.26471787326881546,nearest_country_exact,2099.787439317654
IRN,Males,65-69,2346.1730772060578,gamma,0.26815963849289925,nearest_country_exact,2099.787439317654
IRN,Males,70-74,2279.4107316943437,gamma,0.27493161804580607,nearest_country_exact,2099.787439317654
IRN,Males,75-79,2208.197563148515,log-normal,0.26184063214148257,nearest_country_exact,2099.787439317654
IRN,Males,80-84,2134.9173127587796,log-normal,0.26184063214148257,nearest_country_nearest_age,2099.787439317654
IRN,Males,85-89,2050.905828966635,log-normal,0.26184063214148257,nearest_country_nearest_age,2099.787439317654
IRN,Males,90-94,2004.6911565926503,log-normal,0.26184063214148257,nearest_country_nearest_age,2099.787439317654
IRN,Males,95-99,1970.0345503586377,log-normal,0.26184063214148257,nearest_country_nearest_age,2099.787439317654
IRQ,Females,0-0.99,457.77535058343244,gamma,0.24289423835095583,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,1-4,800.1504620000943,gamma,0.24289423835095583,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,5-9,1176.3905037920151,gamma,0.24289423835095583,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,10-14,1561.1383608525728,gamma,0.24289423835095583,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,15-19,1771.1724513798704,gamma,0.24289423835095583,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,20-24,1894.6147798572686,gamma,0.24289423835095583,nearest_country_exact,1763.2069286732972
IRQ,Females,25-29,1918.1006745968878,gamma,0.24098581121053092,nearest_country_exact,1763.2069286732972
IRQ,Females,30-34,1925.1780458516384,gamma,0.24425305597392383,nearest_country_exact,1763.2069286732972
IRQ,Females,35-39,1904.203744671284,gamma,0.245633691612389,nearest_country_exact,1763.2069286732972
IRQ,Females,40-44,1874.8214266418668,log-normal,0.2582839029352789,nearest_country_exact,1763.2069286732972
IRQ,Females,45-49,1856.0593237620576,log-normal,0.26079958359945266,nearest_country_exact,1763.2069286732972
IRQ,Females,50-54,1823.3587082818221,gamma,0.24493824040730072,nearest_country_exact,1763.2069286732972
IRQ,Females,55-59,1795.9474090389801,log-normal,0.25637938685547024,nearest_country_exact,1763.2069286732972
IRQ,Females,60-64,1730.5295450085814,log-normal,0.2504328172732685,nearest_country_exact,1763.2069286732972
IRQ,Females,65-69,1685.3624436166292,gamma,0.24130444298837245,nearest_country_exact,1763.2069286732972
IRQ,Females,70-74,1596.1010738431394,gamma,0.25841169585164364,nearest_country_exact,1763.2069286732972
IRQ,Females,75-79,1534.6751465956784,gamma,0.25841169585164364,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,80-84,1441.6547030182553,gamma,0.25841169585164364,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,85-89,1356.7012983563527,gamma,0.25841169585164364,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,90-94,1328.5997267114608,gamma,0.25841169585164364,nearest_country_nearest_age,1763.2069286732972
IRQ,Females,95-99,1307.317713737422,gamma,0.25841169585164364,nearest_country_nearest_age,1763.2069286732972
IRQ,Males,0-0.99,527.4679135855608,gamma,0.24289423835095583,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,1-4,846.822856220613,gamma,0.24289423835095583,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,5-9,1346.8129382836162,gamma,0.24289423835095583,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,10-14,1882.3229411798045,gamma,0.24289423835095583,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,15-19,2409.9488689296904,gamma,0.24289423835095583,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,20-24,2445.693336206916,gamma,0.24289423835095583,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,25-29,2459.6817480171276,gamma,0.24098581121053092,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,30-34,2432.6446928476867,gamma,0.24425305597392383,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,35-39,2413.990704922415,gamma,0.245633691612389,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,40-44,2375.942557460036,log-normal,0.2582839029352789,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,45-49,2341.4206208225855,log-normal,0.26079958359945266,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,50-54,2293.084919609176,gamma,0.24493824040730072,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,55-59,2249.755772444368,log-normal,0.25637938685547024,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,60-64,2174.690727855202,log-normal,0.2504328172732685,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,65-69,2119.793280554838,gamma,0.24130444298837245,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,70-74,2021.2756073659098,gamma,0.25841169585164364,nearest_country_opposite_sex,1763.2069286732972
IRQ,Males,75-79,1954.260968622336,gamma,0.25841169585164364,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,80-84,1844.43280788175,gamma,0.25841169585164364,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,85-89,1759.5376189645988,gamma,0.25841169585164364,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,90-94,1716.3831190340445,gamma,0.25841169585164364,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
IRQ,Males,95-99,1682.6263036133237,gamma,0.25841169585164364,ultimate_fallback_opposite_sex_nearest_age,1763.2069286732972
ISL,Females,0-0.99,532.425943315076,gamma,0.19654037370063712,nearest_country_exact,2377.6090573405886
ISL,Females,1-4,938.9225690656767,gamma,0.19654037370063712,nearest_country_exact,2377.6090573405886
ISL,Females,5-9,1439.5832555344712,gamma,0.19654037370063712,nearest_country_nearest_age,2377.6090573405886
ISL,Females,10-14,1934.653102034584,gamma,0.19654037370063712,nearest_country_nearest_age,2377.6090573405886
ISL,Females,15-19,2224.496561656637,gamma,0.006049795912856144,nearest_country_nearest_age,2377.6090573405886
ISL,Females,20-24,2340.8208548458506,gamma,0.006049795912856144,nearest_country_exact,2377.6090573405886
ISL,Females,25-29,2346.208567410826,gamma,0.004435219202398953,nearest_country_exact,2377.6090573405886
ISL,Females,30-34,2325.0833174253576,gamma,0.003437951378016531,nearest_country_exact,2377.6090573405886
ISL,Females,35-39,2296.606789972418,log-normal,0.0027637151419461297,nearest_country_exact,2377.6090573405886
ISL,Females,40-44,2267.888444181733,gamma,0.0022819182622589016,nearest_country_exact,2377.6090573405886
ISL,Females,45-49,2246.869594264873,gamma,0.0019456734470114803,nearest_country_exact,2377.6090573405886
ISL,Females,50-54,2223.500270105124,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,55-59,2198.8734905890974,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,60-64,2154.9109167869206,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,65-69,2121.94624098542,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,70-74,2048.104593371379,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,75-79,2008.0981675747223,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,80-84,1915.9557081600828,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,85-89,1864.94171162924,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,90-94,1832.383290635153,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Females,95-99,1809.4492394833462,gamma,0.0019456734470114803,nearest_country_nearest_age,2377.6090573405886
ISL,Males,0-0.99,613.4834501274503,gamma,0.08949397291876161,nearest_country_exact,2377.6090573405886
ISL,Males,1-4,990.5459478076386,gamma,0.08949397291876161,nearest_country_exact,2377.6090573405886
ISL,Males,5-9,1637.1875284067858,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,10-14,2309.7230166117474,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,15-19,2996.8643324165528,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,20-24,3065.2118673970103,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,25-29,3072.65019946607,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,30-34,3042.2294525776547,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,35-39,3018.8698011514152,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,40-44,2979.5985031015057,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,45-49,2942.9775340332903,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,50-54,2896.4129949169687,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,55-59,2851.309038560633,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,60-64,2783.1839764509004,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,65-69,2725.892375872178,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,70-74,2625.5571111747126,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,75-79,2557.199903460745,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,80-84,2431.928331774938,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,85-89,2347.8335866404773,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,90-94,2298.551009407894,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
ISL,Males,95-99,2260.749966851479,gamma,0.08949397291876161,nearest_country_nearest_age,2377.6090573405886
